route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146573_6003,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146574_6005,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146576_6009,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146578_6013,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146579_6015,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146605_6065,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146606_6067,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146607_6069,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146611_6077,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146614_6083,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146615_6085,ATB:DayType:866,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170144_7003,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170165_7004,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170181_7005,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170185_7006,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170188_7007,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170192_7008,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170195_7009,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170199_7010,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170202_7011,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170206_7012,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170213_7013,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170218_7014,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170222_7015,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163170225_7016,ATB:DayType:951,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220127163987419_7018,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220127164260919_7019,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220127164321543_116,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220127164376233_118,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220202072836154_7027,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220202073018923_7033,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220202073172722_7039,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966556_7006,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966571_7007,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966575_7008,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966578_7009,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966581_7010,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966585_7011,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966588_7012,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966592_7013,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966596_7014,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966599_7015,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966603_7016,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966606_7017,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966612_7018,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302119966615_7019,ATB:DayType:815,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120361992_7002,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362007_7003,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362010_7004,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362013_7005,ATB:DayType:815,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_220302120362015_7006,ATB:DayType:815,Ranheim,0,
