stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:76794,Næss,64.572414,12.531416,,,NSR:StopPlace:44630,,700,01
NSR:Quay:76795,Verksgården,63.399103,11.837541,,,NSR:StopPlace:44631,,700,01
NSR:Quay:76796,Næss,64.572393,12.531109,,,NSR:StopPlace:44630,,700,02
NSR:Quay:76801,Bya,64.574664,12.539640,,,NSR:StopPlace:44634,,700,02
NSR:Quay:76802,Bya,64.574702,12.539554,,,NSR:StopPlace:44634,,700,01
NSR:Quay:76805,Badet,63.391893,11.846381,,,NSR:StopPlace:44636,,700,01
NSR:Quay:76806,Badet,63.391757,11.844961,,,NSR:StopPlace:44636,,700,02
NSR:Quay:76807,Solum,64.582485,12.558500,,,NSR:StopPlace:44637,,700,01
NSR:Quay:76808,Solum,64.585439,12.560141,,,NSR:StopPlace:44637,,700,02
NSR:Quay:76813,Overmoen,64.595197,12.561348,,,NSR:StopPlace:44640,,700,02
NSR:Quay:76814,Overmoen,64.595232,12.561113,,,NSR:StopPlace:44640,,700,01
NSR:Quay:76815,Frøstad,63.620918,10.800255,,,NSR:StopPlace:44641,,700,02
NSR:Quay:76816,Frøstad,63.620957,10.800475,,,NSR:StopPlace:44641,,700,01
NSR:Quay:76819,Aunfoss,64.610332,12.589261,,,NSR:StopPlace:44643,,700,02
NSR:Quay:76820,Aunfoss,64.610383,12.589202,,,NSR:StopPlace:44643,,700,01
