from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349059_22,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340243_29,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349108_6004,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295074_6003,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349107_6002,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340244_6001,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349104_12,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340239_21,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349103_10,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340237_19,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349058_20,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340242_27,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008093_7029,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290480_7023,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008096_7031,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153343_7025,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008098_7033,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153300_7027,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008099_7035,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153344_7029,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008101_7037,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153301_7031,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008103_7039,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153345_7033,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008105_7041,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290483_7035,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008106_7043,NSR:Quay:75658,ATB:ServiceJourney:70_220308089845901_7037,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008108_7045,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290484_7039,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008110_7047,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153347_7041,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349109_6006,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340246_6005,1
NSR:Quay:75172,ATB:ServiceJourney:76_211028073285286_13,NSR:Quay:75172,ATB:ServiceJourney:75_211220096148072_27,1
NSR:Quay:75172,ATB:ServiceJourney:76_211028073285284_9,NSR:Quay:75172,ATB:ServiceJourney:75_211028073285247_17,1
NSR:Quay:103104,ATB:ServiceJourney:7908_220103105899895_5,NSR:Quay:103104,ATB:ServiceJourney:7910_220103105893924_5,1
NSR:Quay:75172,ATB:ServiceJourney:76_211028073285283_7,NSR:Quay:75172,ATB:ServiceJourney:75_211028073285245_13,1
NSR:Quay:98852,ATB:ServiceJourney:7908_220103105899890_2,NSR:Quay:98852,ATB:ServiceJourney:695_220103105894539_3,1
NSR:Quay:75172,ATB:ServiceJourney:76_211028073285282_5,NSR:Quay:75172,ATB:ServiceJourney:75_211220096148063_11,1
NSR:Quay:77581,ATB:ServiceJourney:7905_220103105893936_3,NSR:Quay:77581,ATB:ServiceJourney:695_220103105896252_27,1
NSR:Quay:75172,ATB:ServiceJourney:76_211028073285289_6001,NSR:Quay:75172,ATB:ServiceJourney:75_211028073285261_6005,1
NSR:Quay:75172,ATB:ServiceJourney:76_211028073285287_15,NSR:Quay:75172,ATB:ServiceJourney:75_211220096148075_31,1
NSR:Quay:98852,ATB:ServiceJourney:7904_220103105893929_6,NSR:Quay:98852,ATB:ServiceJourney:7908_220103105899895_5,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148055_7010,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157905_7011,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148054_7008,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157904_7009,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148053_7006,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157903_7007,1
