route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:0146-2018-06-25,ATB:Authority:160,146,Nattbuss Tiller,,704,,,
ATB:Line:0136-2018-06-25,ATB:Authority:160,136,Nattbuss Valentinlyst/Jakobsli,,704,,,
ATB:Line:0770-2018-06-25,ATB:Authority:160,770,Stjørdal - Smedhaugen - Stjørd,,704,,,
ATB:Line:0038-2018-06-25,ATB:Authority:160,38,Stjørdal- Hommelvik- Melhus,,704,,,
ATB:Line:0036-2018-06-25,ATB:Authority:160,36,M4- Brundalen- Stokkhaugen,,704,,,
ATB:Line:0022-2018-06-25,ATB:Authority:160,22,Vestlia- M5- Tyholt,,704,,,
ATB:Line:0043-2018-06-25,ATB:Authority:160,43,Okstad- Heimdal- Ringvål,,704,,,
ATB:Line:0888-2018-06-25,ATB:Authority:160,888,Voll studentby - Steinåsen,,704,,,
ATB:Line:4101-2018-06-25,ATB:Authority:160,4101,Nattbuss Trondheim - Orkanger,,704,,,
ATB:Line:0835-2018-06-25,ATB:Authority:160,835,Sandvikberget - Sætervik - Bes,,1004,,,
ATB:Line:0048-2018-06-25,ATB:Authority:160,48,Trondheim S- Ulset/Bostad- Bra,,704,,,
ATB:Line:0385-2018-06-25,ATB:Authority:160,385,Hommelvik stasjon - Sneisen,,704,,,
ATB:Line:0310-2018-06-25,ATB:Authority:160,310,Stjørdal - Trondheim - Orkange,,704,,,
ATB:Line:0018-2018-06-25,ATB:Authority:160,18,Vikåsen- M1- Havstad,,704,,,
ATB:Line:0410-2018-06-25,ATB:Authority:160,410,Trondheim - Orkanger - (Fannre,,704,,,
ATB:Line:0009-2018-06-25,ATB:Authority:160,9,Dragvoll- M2- Kattem/Lundåsen,,704,,,
ATB:Line:0138-2018-06-25,ATB:Authority:160,138,Nattbuss Stjørdal- Trondheim-,,704,,,
ATB:Line:0601-2018-06-25,ATB:Authority:160,601,Stjørdal stasjon - Terrassehus,,704,,,
ATB:Line:0046-2018-06-25,ATB:Authority:160,46,Pirbadet- P1- Sandmoen,,704,,,
ATB:Line:0019-2018-06-25,ATB:Authority:160,19,Pirbadet- P1- Byåsen- Sandmoen,,704,,,
ATB:Line:0420-2018-06-25,ATB:Authority:160,420,(Sunde) - Sandstad - Sistranda,,704,,,
