Kattem	566670.12	7024946.862
Kattem	566665.228	7024977.914
Kattemsenteret	566842.878	7024860.327
Kattemsenteret	566966.05	7024820.407
Kattemskogen	567122	7024742
Killingdal	567299.483	7034813.032
Killingdal	567308.156	7034853.967
Klefstadbekken	557678.196	7034504.157
Klefstadbekken	557663.542	7034495.16
Klefstadbukta	558422.493	7034990.194
Klefstadbukta	558423	7035005
Klefstadhaugen	559052.001	7034435.565
Klefstadhaugen	559043.617	7034439.898
Kleivplassen	560680.796	7025604.06
Kleivplassen	560681.922	7025609.977
Klett	565441.112	7022554.845
Klett	565446.538	7022550.128
Klett Møbel	566103.091	7022573.805
Klett Møbel	566078.712	7022549.111
Klokkerplassen	577401.009	7034291.295
Klokkerplassen	577423.732	7034275.512
Klokkstein	567171.535	7025861.747
Klokkstein	567164.713	7025866.057
Knausen	558445.066	7024910.208
Knausen	558452.943	7024913.416
Kobberdammen	564307.371	7032667.954
Kobberdammen	564310.289	7032673.104
Koieflata	569534.273	7025652.817
Koieflata	569398.806	7025669.152
Kolstad krk	567164	7026793
Kolstad krk	567211	7026939
Kolstaddalen	568371.663	7027408.716
Kolstaddalen	568361.982	7027393.568
Kolstadhaugen	566761.441	7027960.098
Kolstadhaugen	566838.644	7028088.999
Kolsåsdalen	566082	7028158
Kolsåsdalen	566128	7028112
Kong Øysteins v.	572359.271	7034360.446
Kong Øysteins v.	572359.784	7034387.069
Kongleveien	574415.626	7033581.798
Kongleveien	574372.499	7033575.548
Korsen	567022.51	7025404.464
Korsen	566946.039	7025417.963
Krokstien	570618.852	7030099.969
Krokstien	570618.852	7030099.969
Kroppan	568749.815	7029431.217
Kroppan 	568768.386	7029431.296
Kroppan bru	569545.081	7030483.165
Kroppan bru	569443.193	7030398.683
Kroppanm. Endeholdeplass	568882.091	7028985.245
Kroppanmarka	569303.348	7028935.86
Kroppanmarka	569231.011	7028977.557
Krutthusbakken	571424.036	7036290.588
Krutthusbakken	571478.212	7036273.702
Kuset	579853	7029249
Kuset	579853	7029249
Kuset gård	579461	7029330
Kuset gård	579457	7029332
Kvamshaugen	571526.611	7028037.093
Kvamshaugen	571498.583	7028079.332
Kvenild	567991.469	7026018.723
Kvenilds veg	568211.164	7024375.344
Kvenilds veg	568205.993	7024355.675
Kvenildsmyra	568555	7023664
Kvilhaugen	571107.103	7033481.992
KVT	569074.324	7026513.035
Kystad	567161.199	7029611.418
Kystad	567051.899	7029565.636
Kyvannet	566814	7031314
Kyvannet	566830	7031297
Lade allè 62	572810	7036045
Lade allè 62	572810	7036045
Lade Alle 80	573011.669	7035648.222
Lade Alle 80	573000.893	7035677.471
Lade gård	571808.82	7036221.169
Lade gård	571818.131	7036167.307
Lade krk	571727.558	7036243.273
Lade krk	571782.828	7036189.724
Ladehammeren	571137.752	7036070.215
Ladehammeren	571160.344	7036088.738
